input tokens,output tokens
58,54
198,221
58,54
174,129
21075,194
342,961
58,54
172,138
19839,180
330,1131
58,54
172,132
17135,180
333,991
58,54
172,215
15906,162
22198,191
496,923
1067,85
1209,448
34899,296
463,380
33319,268
40004,314
36772,275
34173,292
442,425
51346,268
47089,246
26363,274
77651,375
519,413
63727,218
17075,312
33508,266
51574,294
435,378
57248,249
45562,286
55078,301
67990,242
389,373
100981,213
42530,259
5530,1904
1067,96
1251,431
22767,222
389,281
61867,217
38657,304
39269,219
389,350
63625,186
16949,284
93160,318
485,293
86000,285
67056,221
55561,205
371,265
68149,267
34722,240
3951,1744
